Domain	Phylum	Class	Order	Family	Genus	Species
meta_mOTU_v2_7627	Bacteria	Tenericutes	unknown Tenericutes	unknown Tenericutes	unknown Tenericutes	unknown Tenericutes	Tenericutes bacterium ADurb.BinA155
meta_mOTU_v2_6390	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus	Coprobacillus sp. CAG:826
meta_mOTU_v2_6536	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus	Coprobacillus sp. CAG:826
meta_mOTU_v2_7574	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
meta_mOTU_v2_5720	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
meta_mOTU_v2_5717	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
meta_mOTU_v2_7749	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	unknown Clostridium
meta_mOTU_v2_7710	Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria	unknown Bacteria
meta_mOTU_v2_7664	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
meta_mOTU_v2_6840	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
meta_mOTU_v2_7403	Bacteria	Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes	unknown Firmicutes
meta_mOTU_v2_5908	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:451
meta_mOTU_v2_7262	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:451
meta_mOTU_v2_6682	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma sp. CAG:877
